Team,Played,Won,Lost,Points,Division,Season,Rank,Rubbers For,Rubbers Against
Hong Kong Cricket Club 2,20,11,9,69,4,2018-2019,3,,
Hong Kong Cricket Club 2,7,6,1,26,2,2019-2020,2,,
Hong Kong Cricket Club 2,11,8,3,42,6,2021-2022,2,,
Hong Kong Cricket Club 2,18,5,13,42,5,2022-2023,7,,
Hong Kong Cricket Club 2,3,1,2,6,2,2024-2025,3,5.0,7.0
Hong Kong Cricket Club 3,20,5,15,36,8A,2016-2017,6,,
Hong Kong Cricket Club 3,16,10,6,57,5,2018-2019,4,,
Hong Kong Cricket Club 3,4,1,3,6,4,2024-2025,7,5.0,15.0
Hong Kong Cricket Club 3,16,11,5,59,8,2023-2024,3,,
Hong Kong Cricket Club 3,21,9,12,48,6,2017-2018,5,,
Hong Kong Cricket Club 3,12,10,2,55,8,2021-2022,2,,
Hong Kong Cricket Club 3,18,8,10,47,8,2022-2023,8,,
Hong Kong Cricket Club 4,4,3,1,17,6,2024-2025,4,14.0,6.0
Hong Kong Cricket Club 4,15,5,10,30,8,2017-2018,7,,
Hong Kong Cricket Club 4,9,4,5,25,4,2019-2020,5,,
Hong Kong Cricket Club 4,16,4,12,26,11,2022-2023,4,,
Hong Kong Cricket Club 4,20,14,6,77,8,2018-2019,4,,
Hong Kong Cricket Club 4,16,5,11,37,8,2023-2024,8,,
Hong Kong Cricket Club 4,11,8,3,41,10,2021-2022,2,,
Hong Kong Cricket Club 4,21,18,3,95,9,2016-2017,2,,
Hong Kong Cricket Club 5,18,10,8,60,12A,2022-2023,4,,
Hong Kong Cricket Club 5,4,2,2,12,7A,2024-2025,5,10.0,10.0
Hong Kong Cricket Club 5,22,10,12,57,10,2018-2019,9,,
Hong Kong Cricket Club 5,10,5,5,26,11,2021-2022,3,,
Hong Kong Cricket Club 5,16,7,9,46,8,2017-2018,5,,
Hong Kong Cricket Club 5,18,3,15,30,11,2023-2024,7,,
Hong Kong Cricket Club 5,18,8,10,40,11,2016-2017,7,,
Hong Kong Cricket Club 6,18,5,13,45,12B,2016-2017,6,,
Hong Kong Cricket Club 6,3,2,1,10,7B,2024-2025,5,8.0,7.0
Hong Kong Cricket Club 6,21,20,1,102,11B,2018-2019,1,,
Hong Kong Cricket Club 6,10,7,3,37,6,2019-2020,4,,
Hong Kong Cricket Club 6,22,13,9,78,11,2017-2018,3,,
Hong Kong Cricket Club 6,21,19,2,98,12A,2023-2024,1,,
Hong Kong Cricket Club 6,18,10,8,59,15B,2022-2023,4,,
Hong Kong Cricket Club 6,9,2,7,15,12A,2021-2022,8,,
Hong Kong Cricket Club 7,18,12,6,71,19,2022-2023,3,,
Hong Kong Cricket Club 7,18,5,13,32,12A,2018-2019,7,,
Hong Kong Cricket Club 8,4,1,3,11,15A,2024-2025,4,10.0,10.0
Hong Kong Cricket Club 8,6,2,4,16,19A,2021-2022,4,,
Hong Kong Cricket Club 8,22,8,14,53,18,2023-2024,8,,
Hong Kong Cricket Club 8,9,6,3,33,8,2019-2020,2,,
Hong Kong Cricket Club 8,18,6,12,38,18A,2016-2017,5,,
Hong Kong Cricket Club 8,22,19,3,103,18,2018-2019,1,,
Hong Kong Cricket Club 9,18,11,7,61,19B,2018-2019,4,,
Hong Kong Cricket Club 9,17,5,12,23,19,2016-2017,5,,
Hong Kong Cricket Club Junior 1,15,1,14,6,12A,2017-2018,9,,
Hong Kong Cricket Club Junior 2,22,19,3,101,18,2017-2018,2,,
Hong Kong Cricket Club Junior 3,22,14,8,72,19,2017-2018,5,,
Hong Kong Cricket Club L1,9,1,8,7,L1,2019-2020,5,,
Hong Kong Cricket Club L1,20,5,15,19,L1,2022-2023,6,,
Hong Kong Cricket Club L1,10,3,7,12,L1,2023-2024,5,,
Hong Kong Cricket Club L1,11,6,5,22,L1,2021-2022,3,,
Hong Kong Cricket Club L1,2,0,2,1,Premier Ladies,2024-2025,5,1.0,5.0
Hong Kong Cricket Club L1,16,6,10,24,L1,2018-2019,4,,
Hong Kong Cricket Club L2,15,13,2,59,L2,2017-2018,1,,
Hong Kong Cricket Club L2,4,2,2,7,L2,2024-2025,5,5.0,11.0
Hong Kong Cricket Club L2A,18,8,10,45,L2,2016-2017,4,,
Hong Kong Cricket Club L2A,16,12,4,46,L2,2022-2023,2,,
Hong Kong Cricket Club L2A,16,11,5,51,L2,2018-2019,2,,
Hong Kong Cricket Club L2A,9,9,0,35,L2,2019-2020,1,,
Hong Kong Cricket Club L2A,20,11,9,54,L2,2023-2024,3,,
Hong Kong Cricket Club L2A,9,4,5,17,L2,2021-2022,3,,
