Team,Played,Won,Lost,Points,Division,Season,Rank,Rubbers For,Rubbers Against
i-Mask Advance Squash Club 12,21,11,10,59,17A,2018-2019,5,,
i-Mask Advance Squash Club 13,8,4,4,27,19A,2019-2020,4,,
i-Mask Advance Squash Club 13,21,19,2,103,17B,2018-2019,2,,
i-Mask Advance Squash Club 13,18,13,5,72,17A,2017-2018,2,,
i-Mask Advance Squash Club 14,22,18,4,98,18,2018-2019,2,,
i-Mask Advance Squash Club 14,18,16,2,83,17B,2017-2018,3,,
i-Mask Advance Squash Club 15,21,15,6,85,19A,2018-2019,3,,
i-Mask Advance Squash Club 15,22,20,2,107,18,2017-2018,1,,
i-Mask Advance Squash Club 16,21,10,11,49,19,2017-2018,6,,
i-Mask Advance Squash Club 16,18,13,5,75,19B,2018-2019,2,,
i-Mask Advance Squash Club 2,11,5,6,31,7,2021-2022,7,,
i-Mask Advance Squash Club 2,3,0,3,4,8A,2024-2025,8,4.0,11.0
i-Mask Advance Squash Club 2,22,8,14,42,7,2023-2024,10,,
i-Mask Advance Squash Club 2,16,6,10,38,5,2018-2019,7,,
i-Mask Advance Squash Club 2,8,4,4,25,5,2019-2020,5,,
i-Mask Advance Squash Club 2,16,14,2,76,7,2022-2023,1,,
i-Mask Advance Squash Club 3,22,5,17,31,7,2018-2019,11,,
i-Mask Advance Squash Club 3,16,11,5,58,12B,2022-2023,3,,
i-Mask Advance Squash Club 3,11,5,6,24,7,2019-2020,8,,
i-Mask Advance Squash Club 3,5,3,2,17,9,2024-2025,2,14.0,11.0
i-Mask Advance Squash Club 3,10,4,6,24,12A,2021-2022,7,,
i-Mask Advance Squash Club 3,21,17,4,88,12A,2023-2024,3,,
i-Mask Advance Squash Club 4,11,5,6,28,7,2019-2020,6,,
i-Mask Advance Squash Club 4,22,17,5,93,7,2018-2019,2,,
i-Mask Advance Squash Club 4,18,10,8,55,7A,2017-2018,5,,
i-Mask Advance Squash Club 4,18,2,16,15,12B,2023-2024,7,,
i-Mask Advance Squash Club 4,3,0,3,6,11,2024-2025,10,6.0,9.0
i-Mask Advance Squash Club 4,21,18,3,94,13,2022-2023,1,,
i-Mask Advance Squash Club 4,9,8,1,46,12B,2021-2022,2,,
i-Mask Advance Squash Club 5,17,10,7,52,7B,2017-2018,6,,
i-Mask Advance Squash Club 5,9,0,9,2,8,2019-2020,6,,
i-Mask Advance Squash Club 5,20,12,8,70,14,2022-2023,3,,
i-Mask Advance Squash Club 5,3,1,2,7,13B,2024-2025,7,6.0,9.0
i-Mask Advance Squash Club 5,22,7,15,54,10,2018-2019,10,,
i-Mask Advance Squash Club 5,16,5,11,37,13,2023-2024,6,,
i-Mask Advance Squash Club 5,12,8,4,39,13A,2021-2022,3,,
i-Mask Advance Squash Club 6,21,14,7,80,11B,2018-2019,3,,
i-Mask Advance Squash Club 6,6,1,5,13,10,2019-2020,7,,
i-Mask Advance Squash Club 6,4,0,4,6,15B,2024-2025,8,6.0,14.0
i-Mask Advance Squash Club 6,9,4,5,24,15B,2021-2022,4,,
i-Mask Advance Squash Club 6,18,13,5,72,15B,2022-2023,1,,
i-Mask Advance Squash Club 6,22,6,16,37,16,2023-2024,10,,
i-Mask Advance Squash Club 7,21,4,17,22,17A,2023-2024,8,,
i-Mask Advance Squash Club 7,9,7,2,37,12A,2019-2020,4,,
i-Mask Advance Squash Club 7,18,13,5,71,12A,2018-2019,2,,
i-Mask Advance Squash Club 7,18,1,17,18,17A,2022-2023,7,,
i-Mask Advance Squash Club 7,11,11,0,59,17B,2021-2022,1,,
i-Mask Advance Squash Club 8,7,5,2,27,19B,2021-2022,2,,
i-Mask Advance Squash Club 8,11,3,8,23,12B,2019-2020,7,,
i-Mask Advance Squash Club 8,18,4,14,30,12B,2018-2019,6,,
i-Mask Advance Squash Club 8,21,11,10,59,17A,2023-2024,5,,
i-Mask Advance Squash Club 8,18,17,1,95,17B,2022-2023,1,,
i-Mask Advance Squash Club 9,21,14,7,77,13A,2018-2019,3,,
i-Mask Advance Squash Club 9,8,6,2,31,13B,2019-2020,5,,
i-Mask Advance Squash Club 9,18,3,15,27,19,2022-2023,10,,
i-Mask Advance Squash Club L3,3,1,2,4,L3,2024-2025,6,3.0,6.0
i-Mask Advance Squash Club L4,2,0,2,0,L4,2024-2025,7,0.0,6.0
